Protein Set,norm(Weighted SC Z1),norm(Weighted SC Z2),norm(Weighted SC Z3),norm(Weighted SC Z4),norm(Weighted SC Z5),norm(Weighted SC Z6),norm(Weighted SC Z7),norm(Weighted SC C1),norm(Weighted SC C2),norm(Weighted SC C3),norm(Weighted SC C4),norm(Weighted SC C5),norm(Weighted SC C6),norm(Weighted SC C7),norm(Weighted SC C8),norm(Weighted SC C9),norm(Weighted SC C10),norm(Weighted SC C11),norm(Weighted SC C12)
ROA2_HUMAN,3.737816759882466,6.481924493589462,10.017278046799813,18.05599856816663,13.680577681466797,5.3102073387434965,6.692362249237278,9.150274649616657,8.658692197578922,13.150274690864723,8.409533934039263,10.88764843832465,9.197412710298469,6.566099598510383,6.4650894898633195,18.23950026462334,5.665426224742053,0.38933187604538055,7.2445507876069
ENOA_HUMAN,14.645173975763814,13.481924493589464,17.017278046799813,33.77807116948499,7.680577681466795,16.310207338743496,16.692362249237277,26.872345343586385,25.473406629341618,2.150274690864722,13.409533934039263,17.88764843832465,5.197412710298471,21.566099598510384,4.4650894898633195,26.23950026462334,25.572782486949084,23.11140257001511,33.2445507876069
PROF1_HUMAN,75.73781675988246,33.48192449358946,55.01727804679981,74.05599856816663,27.680577681466797,57.310207338743496,52.69236224923728,79.15027464961666,54.65869219757892,30.150274690864723,41.40953393403926,55.887648438324646,42.197412710298465,60.566099598510384,4.4650894898633195,52.23950026462334,43.66542622474205,74.38933187604539,38.2445507876069
MDHM_HUMAN,21.737816759882467,4.481924493589462,13.017278046799813,15.055998568166629,2.6805776814667954,12.310207338743496,2.692362249237278,20.15027464961666,7.6586921975789215,2.150274690864722,12.409533934039263,24.88764843832465,15.197412710298469,17.566099598510384,4.4650894898633195,13.239500264623342,12.665426224742053,24.389331876045382,23.2445507876069
TBA1B_HUMAN,-0.26218324011753413,0.481924493589462,0.01727804679981393,-2.94400143183337,0.6805776814667954,0.3102073387434965,-0.30763775076272193,-1.849725350383343,-0.3413078024210785,2.150274690864722,1.4095339340392639,-1.1123515616753492,2.19741271029847,-0.43390040148961706,4.4650894898633195,-0.7604997353766603,-0.3345737752579474,-1.6106681239546194,-1.7554492123931
TBB3_HUMAN,-0.26218324011753413,0.481924493589462,0.01727804679981393,-2.94400143183337,0.6805776814667954,0.3102073387434965,-0.30763775076272193,-1.849725350383343,-0.3413078024210785,2.150274690864722,1.4095339340392639,-1.1123515616753492,2.19741271029847,-0.43390040148961706,4.4650894898633195,-0.7604997353766603,-0.3345737752579474,-1.6106681239546194,-1.7554492123931
K2C5_HUMAN,13.257023760614889,26.10513730792052,2.4096084548961274,-2.94400143183337,18.901633665963868,2.0063725427916532,2.2587339285433083,0.06472899055141035,1.051022605675235,11.686972078560036,5.635634378832965,0.45402011763068106,3.5897431183947837,0.6103474641872628,4.4650894898633195,-0.5864584343646211,3.225370377574084,-1.4366268229425803,0.9965871206910064
IDHP_HUMAN,6.737816759882466,0.481924493589462,8.017278046799813,40.05599856816663,0.6805776814667954,13.310207338743496,6.692362249237278,9.150274649616657,5.6586921975789215,2.150274690864722,2.409533934039264,9.88764843832465,2.19741271029847,5.566099598510383,4.4650894898633195,7.23950026462334,-0.3345737752579474,10.38933187604538,8.2445507876069
K2C6A_HUMAN,0.2671307414155164,11.086101014890732,0.2660138322841279,-2.94400143183337,12.468676016732909,0.38100379865675027,0.8516542318880349,-1.6550350930724758,0.8217136428532745,4.5956529943925535,2.8233261865798522,-0.9530595194199476,2.3390056301249778,-0.3277057116197364,4.4650894898633195,-0.7428006203983468,-0.04736393662917848,-0.5929690015257254,-1.6789709322660515
K1C14_HUMAN,6.338418433008687,26.929735620298448,5.0207184268962495,-2.94400143183337,26.82638685505078,0.3102073387434965,-0.30763775076272193,-1.849725350383343,-0.29274665035031777,2.6865549056512514,1.507094987970977,-1.1123515616753492,2.19741271029847,-0.43390040148961706,4.4650894898633195,-0.7604997353766603,-0.1396269795559668,-1.6106681239546194,-1.7068880603223393
