Protein Set,norm(Weighted SC Z1),norm(Weighted SC Z2),norm(Weighted SC K1),norm(Weighted SC Z3),norm(Weighted SC Z4),norm(Weighted SC Z6),norm(Weighted SC Z5),norm(Weighted SC Z7),norm(Weighted SC K2),norm(Weighted SC K3),norm(Weighted SC K4),norm(Weighted SC K5)
H15_HUMAN,30.79759554696921,26.33514490667933,14.060441344158297,27.85688410477396,53.42803025600066,18.837121207884554,19.816401516436137,12.807476931887498,28.876646895593826,7.493247741589455,15.186923580269031,28.165184447982647
CAP1_HUMAN,22.79759554696921,20.33514490667933,17.060441344158296,27.85688410477396,29.42803025600066,10.837121207884554,20.155303036211528,27.807476931887496,7.876646895593828,17.493247741589453,23.18692358026903,27.165184447982647
BIP_HUMAN,2.935230062731538,0.8168653542196136,8.060441344158297,0.9257013626551265,-0.31459688785920203,3.837121207884554,1.877422367571393,3.0827457249935772,4.323497672266191,4.974968189129738,2.2557408381501958,2.5092703797606006
ATPA_HUMAN,19.79759554696921,19.33514490667933,16.060441344158296,15.856884104773961,50.42803025600066,20.837121207884554,13.15530303621153,37.8074769318875,12.876646895593828,6.493247741589455,10.186923580269031,16.165184447982647
ALDOA_HUMAN,31.79759554696921,29.33514490667933,22.060441344158296,14.856884104773961,26.42803025600066,26.837121207884554,30.155303036211528,22.807476931887496,14.876646895593828,19.493247741589453,14.186923580269031,32.16518444798265
HBD_HUMAN,15.66510920358542,25.59830179754847,13.053181975261813,14.245268923804723,-2.6971967184866434,24.18376465576053,14.50194553041319,9.758475238161912,11.78590287703914,23.159307235608008,4.700535373787098,6.234149883010723
XRCC6_HUMAN,16.79759554696921,10.33514490667933,6.060441344158297,6.856884104773962,43.42803025600066,5.837121207884554,7.15530303621153,21.807476931887496,3.8766468955938276,2.493247741589455,8.186923580269031,8.165184447982647
ACTN4_HUMAN,15.72759585214499,13.315144448915659,13.990441649334079,9.816884142920934,24.298029187885426,3.827121217421297,6.145302807329694,16.77747815259062,21.836645980066482,16.4132478178834,9.126923160652332,7.125184486129619
ARP3_HUMAN,13.797595546969209,17.33514490667933,9.060441344158297,2.856884104773962,42.42803025600066,3.837121207884554,13.15530303621153,15.807476931887496,9.876646895593828,4.493247741589455,9.186923580269031,12.165184447982647
1433B_HUMAN,3.3114853365505077,7.673155694643198,5.0497487477227505,3.77336726860758,8.314281705585621,4.715131957701448,9.290259396074811,4.432662898379197,12.360305686182206,13.662554496655373,8.709055023292713,19.316021392562725
HS71A_HUMAN,8.244935558565889,8.50140753332728,8.404390662090426,13.008024317786656,12.50439858790984,7.032450397185091,3.300731455324689,8.575520449953904,28.330401320642654,7.073523277172951,6.970759945015125,8.154431770065166
EF1A1_HUMAN,22.506686733492646,18.062416940370735,12.842259734050876,29.420518977210484,36.95530534144988,9.691666801146273,14.028030430315534,8.716567927676072,6.803919692224687,7.402338737378029,8.07783277521532,13.019730041244365
HMGB1_HUMAN,22.37654261422995,21.33514490667933,16.060441344158296,18.85688410477396,20.42803025600066,12.030103881529573,17.155303036211528,18.807476931887496,30.841559310144607,12.493247741589455,13.186923580269031,11.165184447982647
1433E_HUMAN,4.6306329233730175,7.931947618166147,9.268256514446383,6.91194639878031,15.552362683979176,12.433924873045687,16.66862395906309,16.251528674441207,13.778956313318437,6.701062911877541,5.547492103676014,5.914740512588359
