Protein Set,K02,K04,K05,K07,K10,K12,K18,K20,K23,K24,K26,K27,K31,K32,K35,K41,K03,K06,K08,K09,K11,K13,K14,K15,K19,K22,K28,K29,K38,K40,K42,K43,K44,Z01,Z03,Z05,Z07,Z09,Z16,Z17,Z18,Z19,Z20,Z23,Z02,Z06,Z10,Z11,Z12,Z13,Z14,Z15,Z21,Z22,Z04,Z08,Z25
UBE2Q1,3.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0
HSPD1,52.0,57.0,43.0,61.0,46.0,42.0,41.0,45.0,40.0,42.0,57.0,55.0,52.0,59.0,52.0,52.0,52.0,54.0,40.0,50.0,46.0,45.0,52.0,51.0,36.0,44.0,43.0,51.0,48.0,54.0,58.0,60.0,57.0,56.0,48.0,52.0,51.0,53.0,54.0,51.0,54.0,51.0,49.0,57.0,50.0,53.0,44.0,42.0,40.0,51.0,47.0,46.0,55.0,49.0,55.0,56.0,58.0
EIF6,7.0,8.0,7.0,6.0,7.0,8.0,7.0,7.0,6.0,5.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,2.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,5.0,6.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0
FLYWCH2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
RBBP6,7.0,7.0,8.0,9.0,6.0,5.0,4.0,5.0,6.0,6.0,8.0,9.0,8.0,11.0,8.0,8.0,5.0,9.0,7.0,7.0,8.0,4.0,7.0,8.0,8.0,5.0,5.0,8.0,7.0,5.0,7.0,5.0,7.0,7.0,5.0,7.0,5.0,7.0,7.0,6.0,7.0,6.0,4.0,3.0,5.0,3.0,7.0,8.0,4.0,6.0,4.0,7.0,7.0,6.0,5.0,5.0,8.0
PSM8,14.0,12.0,10.0,15.0,12.0,10.0,11.0,13.0,12.0,9.0,16.0,17.0,11.0,15.0,12.0,12.0,12.0,15.0,10.0,12.0,11.0,10.0,13.0,12.0,12.0,12.0,9.0,13.0,11.0,16.0,14.0,16.0,15.0,15.0,12.0,12.0,13.0,15.0,13.0,14.0,14.0,15.0,12.0,15.0,14.0,12.0,12.0,12.0,11.0,14.0,12.0,12.0,13.0,12.0,13.0,15.0,14.0
ARAF,12.0,11.0,14.0,13.0,9.0,11.0,12.0,2.0,3.0,5.0,8.0,6.0,10.0,9.0,10.0,13.0,6.0,12.0,1.0,11.0,11.0,9.0,10.0,12.0,4.0,6.0,5.0,11.0,8.0,8.0,13.0,12.0,10.0,10.0,11.0,10.0,13.0,13.0,12.0,13.0,13.0,13.0,8.0,9.0,8.0,9.0,2.0,5.0,5.0,9.0,10.0,12.0,9.0,11.0,11.0,11.0,11.0
CCDC132,5.0,5.0,4.0,4.0,5.0,4.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,0.0,5.0,5.0,3.0,5.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,2.0,4.0,5.0,3.0,2.0,1.0,4.0,4.0,6.0,4.0,5.0,5.0,6.0,4.0,5.0
RAB3D,3.0,5.0,6.0,4.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,5.0,1.0,4.0,4.0,5.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,1.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0
SPTBN1,125.0,142.0,124.0,143.0,115.0,113.0,106.0,88.0,106.0,109.0,123.0,119.0,119.0,144.0,127.0,133.0,129.0,120.0,91.0,130.0,124.0,117.0,129.0,129.0,81.0,111.0,100.0,131.0,121.0,131.0,149.0,135.0,139.0,134.0,130.0,130.0,135.0,135.0,145.0,138.0,141.0,133.0,134.0,140.0,128.0,119.0,99.0,128.0,116.0,119.0,130.0,139.0,130.0,130.0,130.0,147.0,139.0
NDUFB3,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0
MOB2,6.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
0.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,6.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
RASA2,16.0,19.0,16.0,17.0,16.0,19.0,15.0,3.0,10.0,12.0,17.0,14.0,16.0,17.0,15.0,19.0,15.0,17.0,4.0,19.0,18.0,18.0,17.0,19.0,5.0,15.0,16.0,17.0,16.0,16.0,19.0,14.0,18.0,20.0,19.0,14.0,15.0,21.0,22.0,21.0,22.0,19.0,15.0,18.0,15.0,13.0,10.0,12.0,14.0,18.0,18.0,20.0,16.0,18.0,20.0,21.0,19.0
PRKDC,186.0,182.0,172.0,190.0,175.0,175.0,171.0,129.0,155.0,166.0,179.0,185.0,174.0,164.0,168.0,179.0,174.0,186.0,74.0,182.0,180.0,156.0,180.0,185.0,108.0,171.0,141.0,176.0,173.0,180.0,193.0,185.0,189.0,196.0,173.0,182.0,192.0,195.0,196.0,186.0,190.0,191.0,163.0,180.0,188.0,164.0,149.0,142.0,171.0,188.0,172.0,177.0,178.0,189.0,195.0,190.0,195.0
FNBP4,7.0,8.0,7.0,9.0,6.0,4.0,6.0,5.0,6.0,7.0,10.0,8.0,8.0,8.0,9.0,8.0,5.0,9.0,7.0,6.0,8.0,5.0,7.0,10.0,4.0,8.0,3.0,9.0,5.0,7.0,9.0,6.0,6.0,8.0,6.0,6.0,8.0,6.0,9.0,9.0,9.0,8.0,7.0,5.0,5.0,4.0,5.0,9.0,5.0,8.0,8.0,6.0,10.0,8.0,7.0,9.0,10.0
RPS12,16.0,15.0,15.0,14.0,10.0,11.0,11.0,14.0,10.0,12.0,15.0,16.0,14.0,18.0,15.0,13.0,11.0,12.0,13.0,12.0,11.0,10.0,13.0,12.0,17.0,14.0,9.0,14.0,12.0,13.0,14.0,13.0,14.0,15.0,12.0,13.0,13.0,11.0,13.0,12.0,12.0,12.0,11.0,14.0,11.0,15.0,15.0,14.0,9.0,12.0,12.0,12.0,14.0,12.0,11.0,14.0,14.0
TXLNA,12.0,12.0,10.0,9.0,7.0,7.0,6.0,10.0,9.0,9.0,11.0,11.0,10.0,12.0,12.0,11.0,7.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,6.0,9.0,8.0,9.0,12.0,10.0,10.0,9.0,7.0,10.0,10.0,11.0,10.0,12.0,10.0,10.0,7.0,10.0,9.0,7.0,7.0,9.0,6.0,10.0,8.0,10.0,9.0,9.0,11.0,12.0,10.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
CSTF1,15.0,12.0,14.0,14.0,12.0,13.0,12.0,10.0,11.0,11.0,15.0,15.0,11.0,13.0,15.0,14.0,9.0,13.0,6.0,13.0,11.0,10.0,13.0,12.0,13.0,12.0,10.0,13.0,12.0,10.0,14.0,13.0,12.0,14.0,11.0,12.0,14.0,13.0,15.0,12.0,16.0,13.0,13.0,11.0,12.0,14.0,13.0,11.0,13.0,12.0,15.0,13.0,12.0,14.0,14.0,15.0,15.0
APOE,14.0,11.0,8.0,14.0,10.0,16.0,10.0,8.0,9.0,10.0,15.0,14.0,10.0,9.0,5.0,7.0,13.0,7.0,7.0,17.0,9.0,13.0,9.0,15.0,6.0,7.0,5.0,6.0,11.0,10.0,8.0,10.0,12.0,11.0,15.0,5.0,5.0,10.0,4.0,6.0,14.0,12.0,13.0,8.0,12.0,6.0,5.0,5.0,7.0,6.0,5.0,6.0,14.0,13.0,7.0,12.0,12.0
PECI,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HSP90AA4P,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
TXN,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,6.0,10.0,9.0,10.0,11.0,11.0,11.0,11.0,9.0,10.0,10.0,7.0,11.0,10.0,9.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,8.0,11.0,9.0,10.0,7.0,8.0,9.0,10.0,11.0
H1-1,5.0,4.0,6.0,4.0,4.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,4.0,4.0,5.0,4.0,3.0,3.0,6.0,4.0,4.0,5.0,3.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,6.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0
LRRC47,23.0,23.0,24.0,25.0,21.0,23.0,20.0,18.0,21.0,20.0,24.0,23.0,22.0,23.0,23.0,25.0,21.0,23.0,17.0,22.0,23.0,23.0,20.0,24.0,20.0,20.0,17.0,26.0,23.0,24.0,23.0,25.0,22.0,21.0,20.0,21.0,22.0,22.0,22.0,20.0,20.0,21.0,18.0,26.0,20.0,22.0,16.0,17.0,19.0,21.0,23.0,20.0,20.0,23.0,24.0,25.0,27.0
THYN1,17.0,14.0,15.0,15.0,15.0,16.0,14.0,16.0,16.0,16.0,16.0,16.0,15.0,17.0,16.0,16.0,15.0,15.0,12.0,16.0,16.0,15.0,16.0,16.0,17.0,16.0,15.0,16.0,16.0,17.0,16.0,16.0,16.0,17.0,15.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,14.0,14.0,15.0,16.0,16.0,12.0,15.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0
CASP3,6.0,5.0,4.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,7.0,7.0,4.0,7.0,6.0,6.0,4.0,6.0,2.0,5.0,6.0,3.0,6.0,5.0,7.0,5.0,3.0,5.0,6.0,6.0,5.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,4.0,7.0,6.0,6.0,3.0,4.0,7.0,6.0,7.0,6.0,7.0,7.0,5.0,6.0
RRP7A,3.0,5.0,4.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,1.0,1.0,0.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0
APOA4,4.0,4.0,6.0,7.0,4.0,17.0,5.0,5.0,2.0,1.0,1.0,6.0,3.0,13.0,4.0,5.0,3.0,4.0,2.0,15.0,2.0,0.0,3.0,16.0,9.0,2.0,4.0,3.0,1.0,5.0,6.0,4.0,8.0,3.0,3.0,2.0,3.0,3.0,3.0,6.0,20.0,2.0,4.0,7.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,4.0,3.0,12.0
PANK4,17.0,17.0,17.0,15.0,12.0,16.0,10.0,3.0,8.0,6.0,10.0,12.0,15.0,10.0,10.0,19.0,9.0,15.0,3.0,17.0,16.0,11.0,14.0,17.0,2.0,14.0,10.0,17.0,10.0,15.0,15.0,14.0,18.0,17.0,15.0,13.0,15.0,19.0,16.0,16.0,16.0,19.0,7.0,17.0,12.0,13.0,5.0,2.0,13.0,14.0,15.0,17.0,13.0,14.0,19.0,18.0,19.0
MAK16,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
FAM98B,11.0,13.0,11.0,11.0,10.0,11.0,7.0,5.0,7.0,7.0,8.0,10.0,9.0,12.0,7.0,12.0,9.0,11.0,6.0,9.0,13.0,8.0,14.0,14.0,8.0,9.0,9.0,13.0,8.0,11.0,15.0,13.0,13.0,14.0,11.0,11.0,14.0,13.0,18.0,15.0,14.0,13.0,8.0,13.0,13.0,7.0,6.0,6.0,6.0,12.0,11.0,13.0,13.0,11.0,15.0,13.0,14.0
WDR82,16.0,16.0,14.0,16.0,15.0,13.0,15.0,13.0,14.0,13.0,15.0,16.0,14.0,13.0,14.0,15.0,14.0,14.0,8.0,14.0,13.0,15.0,13.0,13.0,13.0,14.0,11.0,15.0,13.0,16.0,15.0,16.0,15.0,15.0,12.0,12.0,14.0,13.0,13.0,14.0,12.0,13.0,14.0,15.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,14.0,14.0,15.0
SNRPD2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HP1BP3,42.0,43.0,36.0,42.0,38.0,34.0,35.0,30.0,35.0,39.0,42.0,41.0,39.0,47.0,41.0,41.0,35.0,36.0,36.0,41.0,35.0,38.0,39.0,40.0,34.0,36.0,32.0,41.0,39.0,42.0,43.0,43.0,42.0,41.0,39.0,39.0,37.0,40.0,39.0,38.0,38.0,39.0,38.0,41.0,37.0,40.0,35.0,34.0,34.0,39.0,36.0,37.0,43.0,40.0,36.0,43.0,44.0
ACTR3,31.0,31.0,25.0,31.0,26.0,27.0,27.0,24.0,22.0,24.0,28.0,31.0,28.0,29.0,28.0,28.0,29.0,29.0,20.0,27.0,27.0,25.0,27.0,26.0,25.0,26.0,24.0,29.0,27.0,30.0,30.0,30.0,28.0,31.0,27.0,28.0,27.0,28.0,28.0,27.0,28.0,27.0,28.0,31.0,29.0,30.0,26.0,27.0,26.0,26.0,27.0,29.0,29.0,28.0,28.0,30.0,26.0
SSNA1,4.0,5.0,6.0,4.0,1.0,2.0,4.0,4.0,3.0,2.0,6.0,5.0,2.0,5.0,6.0,2.0,3.0,5.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,6.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,2.0,2.0,4.0,5.0,2.0,2.0,4.0,4.0,2.0
TSC22D2,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0
SH3BP1,27.0,30.0,28.0,30.0,27.0,27.0,22.0,16.0,22.0,22.0,25.0,23.0,27.0,26.0,25.0,30.0,23.0,26.0,17.0,27.0,26.0,24.0,26.0,29.0,20.0,24.0,23.0,30.0,25.0,27.0,33.0,29.0,32.0,28.0,26.0,28.0,29.0,30.0,30.0,30.0,31.0,30.0,25.0,30.0,26.0,24.0,22.0,21.0,25.0,26.0,28.0,27.0,28.0,29.0,30.0,28.0,32.0
FREP1,2.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
NKTR,4.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0
HEL-S-52,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
CUTA,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0
ADD1,24.0,25.0,19.0,25.0,20.0,18.0,19.0,19.0,19.0,19.0,21.0,24.0,22.0,25.0,23.0,22.0,22.0,22.0,15.0,23.0,22.0,20.0,24.0,22.0,19.0,20.0,19.0,23.0,22.0,23.0,25.0,24.0,23.0,24.0,23.0,23.0,25.0,27.0,28.0,24.0,25.0,27.0,24.0,23.0,25.0,22.0,20.0,19.0,19.0,23.0,25.0,24.0,25.0,24.0,24.0,24.0,26.0
NUP37,8.0,6.0,5.0,9.0,7.0,7.0,8.0,7.0,4.0,7.0,8.0,8.0,6.0,8.0,8.0,7.0,6.0,8.0,3.0,6.0,7.0,6.0,8.0,8.0,7.0,7.0,4.0,6.0,6.0,7.0,7.0,8.0,7.0,7.0,8.0,6.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,6.0,5.0,4.0,6.0,7.0,7.0,7.0,8.0,7.0,9.0,7.0,8.0
PDIA6,17.0,17.0,13.0,18.0,16.0,14.0,12.0,14.0,13.0,12.0,17.0,17.0,16.0,17.0,14.0,16.0,15.0,18.0,12.0,16.0,16.0,13.0,18.0,14.0,13.0,13.0,10.0,18.0,17.0,18.0,19.0,19.0,17.0,18.0,18.0,17.0,16.0,16.0,17.0,18.0,17.0,18.0,17.0,18.0,16.0,17.0,13.0,13.0,14.0,19.0,15.0,16.0,18.0,16.0,15.0,17.0,18.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HM13,6.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,7.0,3.0,5.0,6.0,5.0,5.0,3.0,5.0,6.0,5.0,6.0,6.0,2.0,6.0,4.0,5.0,5.0,5.0,5.0,7.0,5.0,7.0,7.0,5.0,7.0,7.0,6.0,7.0,7.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,5.0
CHMP1A,6.0,5.0,5.0,6.0,5.0,5.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
BABAM2,5.0,6.0,6.0,6.0,5.0,6.0,4.0,3.0,2.0,4.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,7.0,3.0,7.0,3.0,5.0,5.0,6.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,6.0,5.0,5.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
POLR2B,42.0,43.0,42.0,45.0,38.0,41.0,37.0,24.0,28.0,35.0,44.0,43.0,41.0,40.0,37.0,45.0,38.0,39.0,15.0,44.0,42.0,32.0,43.0,43.0,17.0,39.0,30.0,44.0,39.0,40.0,47.0,43.0,40.0,40.0,38.0,40.0,40.0,43.0,44.0,39.0,44.0,37.0,35.0,39.0,42.0,34.0,25.0,24.0,37.0,42.0,42.0,38.0,39.0,40.0,43.0,44.0,42.0
TIAM1,7.0,7.0,6.0,6.0,4.0,3.0,4.0,2.0,2.0,3.0,6.0,3.0,6.0,5.0,6.0,6.0,4.0,6.0,0.0,5.0,7.0,2.0,7.0,7.0,0.0,3.0,4.0,6.0,5.0,4.0,7.0,2.0,6.0,5.0,6.0,7.0,4.0,4.0,7.0,8.0,7.0,7.0,3.0,6.0,5.0,3.0,2.0,2.0,3.0,5.0,5.0,6.0,4.0,6.0,4.0,8.0,8.0
CHTF8,5.0,5.0,6.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,6.0,5.0,5.0,3.0,4.0,6.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,4.0,2.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0
LBH,7.0,7.0,6.0,8.0,7.0,5.0,2.0,5.0,5.0,5.0,8.0,8.0,3.0,9.0,8.0,5.0,6.0,7.0,4.0,6.0,5.0,3.0,7.0,7.0,7.0,4.0,0.0,3.0,6.0,6.0,7.0,8.0,6.0,6.0,7.0,6.0,6.0,4.0,7.0,5.0,5.0,6.0,7.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,4.0,3.0,6.0,6.0,3.0
PGAM5,4.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,4.0,5.0,2.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
PPP6R2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BYSL,8.0,9.0,10.0,8.0,8.0,7.0,10.0,2.0,4.0,6.0,9.0,5.0,7.0,7.0,7.0,9.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,10.0,1.0,9.0,7.0,11.0,7.0,9.0,9.0,10.0,10.0,9.0,6.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,6.0,6.0,6.0,7.0,2.0,4.0,5.0,7.0,8.0,8.0,7.0,7.0,7.0,9.0,11.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
