Protein Set,K02,K04,K05,K07,K10,K12,K18,K20,K23,K24,K26,K27,K31,K32,K35,K41,K03,K06,K08,K09,K11,K13,K14,K15,K19,K22,K28,K29,K38,K40,K42,K43,K44,Z01,Z03,Z05,Z07,Z09,Z16,Z17,Z18,Z19,Z20,Z23,Z02,Z06,Z10,Z11,Z12,Z13,Z14,Z15,Z21,Z22,Z04,Z08,Z25
SP2,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
GNLY,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
HBA2,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
0.0,7.0,5.0,6.0,6.0,7.0,6.0,2.0,4.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,9.0,3.0,7.0,6.0,3.0,7.0,6.0,6.0,6.0,4.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,4.0,7.0,8.0,5.0,7.0,8.0,9.0,9.0,6.0,6.0,4.0,6.0,8.0,3.0,5.0,8.0,9.0,9.0,6.0,8.0,7.0,8.0,6.0
DNM2,45.0,47.0,41.0,45.0,42.0,46.0,35.0,25.0,29.0,33.0,43.0,43.0,45.0,38.0,41.0,42.0,39.0,42.0,19.0,43.0,41.0,36.0,43.0,43.0,25.0,37.0,32.0,42.0,39.0,41.0,43.0,43.0,42.0,48.0,43.0,40.0,43.0,46.0,47.0,43.0,46.0,44.0,40.0,43.0,45.0,41.0,31.0,32.0,35.0,43.0,43.0,43.0,40.0,40.0,45.0,45.0,45.0
IDH3G,11.0,11.0,9.0,12.0,10.0,8.0,9.0,7.0,6.0,7.0,10.0,11.0,9.0,10.0,9.0,11.0,9.0,9.0,2.0,8.0,10.0,7.0,11.0,11.0,5.0,8.0,5.0,11.0,9.0,10.0,11.0,11.0,11.0,12.0,10.0,10.0,12.0,12.0,11.0,10.0,11.0,12.0,9.0,11.0,11.0,8.0,8.0,6.0,8.0,10.0,11.0,9.0,11.0,9.0,11.0,12.0,11.0
IKZF1,16.0,17.0,14.0,14.0,12.0,12.0,9.0,8.0,12.0,13.0,15.0,12.0,13.0,15.0,14.0,13.0,12.0,14.0,7.0,17.0,16.0,15.0,16.0,16.0,11.0,14.0,12.0,16.0,15.0,14.0,17.0,15.0,16.0,14.0,13.0,13.0,15.0,14.0,13.0,16.0,16.0,13.0,11.0,14.0,12.0,11.0,13.0,12.0,11.0,13.0,13.0,14.0,15.0,14.0,14.0,14.0,15.0
RPS2,19.0,20.0,16.0,19.0,18.0,18.0,15.0,16.0,16.0,15.0,18.0,19.0,18.0,19.0,19.0,19.0,17.0,18.0,15.0,18.0,18.0,17.0,18.0,18.0,16.0,18.0,18.0,18.0,18.0,17.0,19.0,19.0,18.0,18.0,18.0,19.0,18.0,20.0,21.0,20.0,19.0,18.0,17.0,18.0,18.0,18.0,16.0,16.0,17.0,18.0,17.0,19.0,17.0,18.0,21.0,19.0,18.0
DHRS4,6.0,7.0,6.0,6.0,7.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,5.0,6.0,4.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,7.0,5.0,6.0
EPB41,29.0,28.0,28.0,30.0,25.0,27.0,26.0,23.0,27.0,27.0,30.0,32.0,33.0,32.0,27.0,29.0,30.0,29.0,21.0,30.0,29.0,28.0,31.0,28.0,25.0,29.0,27.0,29.0,29.0,31.0,32.0,33.0,31.0,31.0,32.0,29.0,29.0,31.0,30.0,31.0,30.0,29.0,31.0,33.0,26.0,27.0,23.0,26.0,27.0,28.0,28.0,27.0,34.0,30.0,31.0,35.0,32.0
